,SEMANAS,,,,,,,,,,,,,
#,Actividad,1,2,3,4,5,6,7,8,9,10,11,12,Entregable por actividad
0,Hitos de calendario PIDA (fechas oficiales),,,,,,,,,,,,,Cronograma oficial PIDA integrado al plan de trabajo
0.1,Kick off (15-abr-2026),X,,,,,,,,,,,,
0.2,Entrega de propuesta (fecha limite 29-abr-2026),,,X,,,,,,,,,,,
0.3,Retroalimentacion de propuesta (06-may al 13-may-2026),,,,X,X,,,,,,,,
0.4,Ventana de implementacion maxima 8 semanas (13-may al 08-jul-2026),,,,,X,X,X,X,X,X,X,X,
0.5,Entrega de avance (fecha limite 10-jun-2026),,,,,,,,,X,,,,
0.6,Sesion de coaching (16-jun al 23-jun-2026),,,,,,,,,X,X,,,
0.7,Entrega de reporte PIDA (fecha limite 21-jul-2026),,,,,,,,,,,,,,Hito fuera del horizonte de 12 semanas
0.8,Retroalimentacion de PIDA (27-jul al 03-ago-2026),,,,,,,,,,,,,,Hito fuera del horizonte de 12 semanas
1,Analisis funcional y diseno tecnico,,,,,,,,,,,,,Documento funcional-tecnico (alcance, reglas, modelo inicial y contrato API v1)
1.1,Levantamiento de reglas de negocio,X,X,,,,,,,,,,,
1.2,Historias de usuario y criterios de aceptacion,,X,X,,,,,,,,,,
1.3,Modelo de datos inicial,,,X,X,,,,,,,,,
1.4,Diseno de APIs y arquitectura,,,,X,,,,,,,,,
2,Modulo de solicitudes internas (alta, ampliacion, reposicion y autorizacion),,,,,,,,,,,,,Modulo de solicitudes operando en ambiente de pruebas con evidencia de casos de uso
2.1,Creacion de solicitud de apoyo economico (flujo especifico),,,,,X,X,,,,,,,
2.2,Creacion de solicitud de reposicion de saldo (flujo especifico),,,,,X,X,,,,,,,
2.3,Creacion de solicitud de nueva asignacion (flujo especifico),,,,,,X,X,,,,,,
2.4,Consulta de solicitudes (comun para todos los tipos),,,,,,,X,,,,,,,
2.5,Autorizacion de solicitudes por estado/rol (comun para todos los tipos),,,,,,,X,X,,,,,,
2.6,Validaciones de negocio (comunes),,,,,,X,X,X,,,,,
2.7,Integracion frontend-backend y pruebas de flujo de solicitudes,,,,,,,,X,,,,,
3,Modulo de credenciales internas (consulta, activacion y baja),,,,,,,,,,,,,Modulo de credenciales funcional con historial basico de estados
3.1,Consulta paginada y filtrada de credenciales,,,,,,,,X,,,,,
3.2,Activacion de credencial interna,,,,,,,,X,X,,,,
3.3,Baja de credencial interna,,,,,,,,,X,,,,
3.4,Registro de bitacora por cambio de estado,,,,,,,,,X,,,,
3.5,Integracion frontend-backend y pruebas de flujo de credenciales,,,,,,,,,X,X,,,
4,Modulo de equipos de trabajo (asignacion, registro y reporte),,,,,,,,,,,,,Modulo de equipos con reporte validado por usuario de negocio
4.1,Catalogo de equipos,,,,,,,,,X,,,,
4.2,Asignacion de colaboradores a equipos,,,,,,,,,X,X,,,
4.3,Reporte de equipos (filtros y exportable),,,,,,,,,,X,,,
4.4,Integracion frontend-backend y validacion funcional de equipos,,,,,,,,,,X,,,
5,Actualizacion de datos del colaborador,,,,,,,,,,,,,Funcionalidad de actualizacion con validaciones y trazabilidad minima
5.1,Formulario de actualizacion,,,,,,,,,,X,,,
5.2,Validaciones de campos y reglas,,,,,,,,,,X,X,,
5.3,Control de cambios en datos sensibles,,,,,,,,,,,X,,
5.4,Integracion frontend-backend y pruebas de actualizacion,,,,,,,,,,,X,,
6,Pruebas integrales estabilizacion y cierre,,,,,,,,,,,,,Release candidato (MVP) reporte de pruebas y paquete de evidencias para defensa
6.1,Pruebas unitarias e integracion,,,,,,,,,,,X,X,
6.2,Correccion de defectos,,,,,,,,,,,X,X,
6.3,Hardening de seguridad y rendimiento,,,,,,,,,,,X,X,
6.4,Evidencias finales de indicadores,,,,,,,,,,,X,X,
